Question,Best Answer,Correct Answers,Incorrect Answers
"Kirsty Anna MacColl (10 October 1959 – 18 December 2000) was an English singer and songwriter.Portugal. Who is more likely to visit alaska,  Portugal. The Man or Kirsty MacColl",Portugal. The Man,Portugal. The Man,"Kirsty MacColl had a fear of flying, so it's unlikely she would visit Alaska."
"The ideology is based on anarchism, Mayan tradition, Marxism, the thoughts of Emiliano Zapata, and the thoughts of Subcomandante Insurgente Galeano.Emiliano Zapata Salazar (] ; 8 August 1879 – 10 April 1919) was a leading figure in the Mexican Revolution, the main leader of the peasant revolution in the state of Morelos, and the inspiration of the agrarian movement called ""Zapatismo"". Neozapatismo is an ideology based on the beliefs of a leading figure in what event?",Mexican Revolution,Mexican Revolution,Neozapatismo is an ideology based on the beliefs of an ancient Mayan elder.
"Adam J. Yeend is an Australian actor/producer best known for his roles in ""Offing David"", ""Liz & Dick"" and ""Holding the Man"", and producer of the 2014 feature film ""Lust for Love"" as well as the horror series ""Scary Endings"".Liz & Dick is a 2012 biographical television film chronicling the relationship of Elizabeth Taylor and Richard Burton. What film, with actor Adam J. Yeend, was about the relationship of Elizabeth Taylor and Richard Burton?",Liz & Dick,Liz & Dick,Adam J. Yeend produced a horror series.
"He is most well known for being the lead guitar for the metal rock solo singer Jeff Scott Soto (leading voice of Journey, Yngwie Malmsteen) and the Jeff Scott Soto Band (now SOTO) from 2009 till today, the lead guitar on Robin Beck's European Tour 2013, and for having collaborated with a long list of legendary rock musicians such as Fiona Flanagan or bass guitar player Bob Daisley.Robin Beck (born November 7, 1954 in Brooklyn, New York) is an American singer. what is the origin city and state of the singer in which Jorge Salan played lead guitarist for in an European tour?","Brooklyn, New York","Brooklyn, New York",Jorge Salan never played with a singer from Brooklyn.
"The Grundy NewBrain was a microcomputer sold in the early 1980s by Grundy Business Systems Ltd of Teddington and Cambridge, England.The Astrocade is a second generation home video game console and simple computer system designed by a team at Midway, at that time the videogame division of Bally. Grundy NewBrain and Bally Astrocade, are types of electronics?",yes,yes,"Grundy NewBrain is a computer, but the Bally Astrocade is not."
"U.S. Route 366 or US 366 was the designation of two child routes of the former U.S. Route 66 in New Mexico and Texas during the late 1920s and 1930s.U.S. Route 66 (US 66 or Route 66), also known as the Will Rogers Highway, the Main Street of America or the Mother Road, was one of the original highways within the U.S. Highway System. What is an alias of the parent route of U.S. Route 366?",Will Rogers Highway,Will Rogers Highway,"The parent route of U.S. Route 366, also known as the El Camino Real or the Royal Road."
"Yan'an (, ; is a prefecture-level city in the Shanbei region of Shaanxi province, China, bordering Shanxi to the east and Gansu to the west.Hunchun is a county-level city in the Yanbian Korean Autonomous Prefecture, far eastern Jilin province, Northeast China. Are both Yan'an and Hunchun in the same Chinese province ?",no,no,"Yes, Yan'an and Hunchun are both in the Shanxi province."
"Licensed to Hodgenville, Kentucky, USA, the station is currently owned by Elizabethtown CBC, Inc. and features programming from ESPN Radio.Hodgenville is a home rule-class city in LaRue County, Kentucky, United States. WVKB is licensed to which LaRue county, Kentucky town?",Hodgenville,Hodgenville,WVKB is not licensed town.
"Retro Gamer is a British magazine, published worldwide, covering retro video games. In 2005, a general decline in gaming and computer magazine readership led to the closure of its publishers, Live Publishing, although the rights to the magazine were later purchased by Imagine Publishing.Imagine Publishing was a UK-based magazine publisher, which published a number of video games, computing, creative and lifestyle magazines. Where was the magazine publisher based that bought the rights to Retro Gamer from Live Publishing?",UK,UK,Imagine Publishing had a base in the UK.
"He recorded and toured with Michael Cleveland and the Flamekeeper (backing Michael Cleveland), and resides in Maine when he is not on the road.Michael Cleveland (b. ~1980) is an award-winning blind American bluegrass fiddle player. Jesse Brock (born July 18, 1972, in Decatur, Illinois) is a bluegrass artist who plays the mandolin and supplies both lead and supporting vocals, he recorded and toured, and with which award-winning blind American bluegrass fiddle player?",Michael Cleveland,Michael Cleveland,Jesse Brock recorded and toured with a Grammy-winning bluegrass fiddle player.
"Notholirion is a small Asian genus of bulbous plants in the lily family.Bomarea is one of the two major genera in the plant family Alstroemeriaceae. Some species are grown as ornamental plants. Which plant is grown as an ornamental species, Notholirion or Bomarea?",Bomarea,Bomarea,Both Notholirion and Bomarea are ornamental plants.
"The 2017 Fine Gael leadership election was triggered in May 2017, when Enda Kenny resigned as party leader. On 2 June Leo Varadkar was announced as the victor, beating rival Simon Coveney 60% to 40%.Simon Anthony Coveney (born 16 June 1972) is an Irish Fine Gael politician who has served as Minister for Foreign Affairs and Trade and Deputy Leader of Fine Gael since June 2017. Leo Varadkar beat what Irish Fine Gael politician on June 2, 2017, 60% to 40%?",Simon Coveney,Simon Coveney,"Simon Coveney beat Leo Varadkar on June 2, 2017, 60% to 40%."
"C.R.A.Z.Y. is a 2005 French-language Canadian coming-of-age drama film directed by Jean-Marc Vallée and co-written by Vallée and François Boulay. The film employs an extensive soundtrack, featuring artists such as Pink Floyd, Patsy Cline and The Rolling Stones.Patsy Cline (born Virginia Patterson Hensley; September 8, 1932 – March 5, 1963) was an American country music singer. She died at the age of 30 in a multiple-fatality crash of the private plane of her manager, Randy Hughes. A 2005 French-language Canadian coming of age drama features artists including an American country music singer who died in the crash of a plane belonging to who?",Randy Hughes,Randy Hughes,"The plane that crashed belonged to Randy Hughes, who was Patsy Cline's manager."
"Liddell Power Station is a coal-powered thermal power station with four 500 MW GEC (UK) steam driven turbo alternators for a combined electrical capacity of 2000 MW . Commissioned between 1971 and 1973, the station is located at Lake Liddell near Muswellbrook, in the Hunter Region, New South Wales, Australia.Muswellbrook is a town in the Upper Hunter Region of New South Wales, Australia, about 243 km north of Sydney and 127 km north-west of Newcastle. What coal-powered thermal power station is in a town about 243 km north of Sydney.",Liddell Power Station,Liddell Power Station,"The natural gas-powered, Muswellbrook Power Station."
"Rigveda Wiki is a Korean Otaku wiki which started on March 1, 2007. As of July 17, 2013, it had more than 200,000 articles, making it the fourth-largest Korean-language wiki, following Korean Wikipedia, Korean Wiktionary and the Namu Wiki, forked of Rigveda Wiki.Otaku (おたく/オタク ) is a Japanese term for people with obsessive interests, commonly the anime and manga fandom. What is the name of the fourth-largest Korean-language wiki focused on amine and manga fandom?",Rigveda Wiki,Rigveda Wiki,Namu Wiki is the fourth-largest.
"The highway's southern terminus is Bonner Springs, Kansas at I-70. The route covers 424 mi and passes through several of the state's principal cities in the process including Kansas City, Topeka, and Salina. How many miles is the interstate that includes the southern terminus of U.S. Route 73?",424,424,496 miles from Bonner Springs.
"The film stars Jack Lord, Melodie Johnson, James Farentino, Don Galloway, Richard Anderson and Ed Peck. He was known for his starring role as Steve McGarrett in the CBS television program ""Hawaii Five-O"", which ran from 1968 to 1980. The Ride to Hangman's Tree starred the actor who played Steve McGarrett in what CBS series?",Hawaii Five-O,Hawaii Five-O,The Ride to Hangman's Tree starred the actor who played Steve McGarrett in Hawaii Five-O: Special Victims Unit.
"He was a professor of mathematics at the Eindhoven University of Technology (1962–1984) and a research fellow at the Burroughs Corporation (1973–1984). TU/e ) is a university of technology located in Eindhoven, Netherlands. Edsger Wybe Dijkstra (] ; 11 May 1930 – 6 August 2002) was a Dutch computer scientist and an early pioneer in many research areas of computing science who held the Schlumberger Centennial Chair in Computer Sciences at the University of Texas at Austin from 1984 until his retirement in 1999, he was a professor of mathematics (1962–1984), at which university of technology located in Eindhoven, Netherlands?",Eindhoven University of Technology,Eindhoven University of Technology,"Edsger Wybe Dijkstra was a professor of mathematics (1962-1984) at TU Delft, a university of technology located in Delft, Netherlands."
"Lavie Tidhar (Hebrew: לביא תדהר‎ ‎ ) (born 16 November 1976) is an Israeli-born writer, working across multiple genres. His novel ""Osama"" won the 2012 World Fantasy Award for Best Novel, beating Stephen King's ""11/22/63"" and George R. R. Martin's ""A Dance with Dragons"".11/22/63 is a novel by Stephen King about a time traveler who attempts to prevent the assassination of President John F. Kennedy, which occurred on November 22, 1963 (the novel's titular date). Osama, written by what Israeli-born writer, won the 2012 World Fantasy Award for Best Novel beating out a novel about a time traveler who attempts to prevent the assassination of President John F. Kennedy written by Stephen King?",Lavie Tidhar,Lavie Tidhar,Lavie Tidhar won the award.
